2158,8
2224,9
2259,1
2260,10
2261,10
2262,10
2301,1
2302,10
2303,10
2304,10
2334,1
2335,1
2336,1
2337,1
2338,1
2339,0
2340,0
2341,0
2342,0
2385,1
2386,1
2387,1
2388,1
2389,0
2390,0
2391,0
2392,0
2393,0
2427,2
2428,2
2429,7
2430,7
2431,7
2432,0
2433,0
2434,0
2435,0
2436,0
2468,3
2469,3
2470,7
2471,7
2472,7
2474,5
2475,0
2476,0
2505,2
2506,3
2507,3
2508,3
2509,3
2510,7
2511,7
2512,5
2513,5
2514,5
2515,5
2540,3
2541,3
2542,3
2543,6
2544,6
2545,6
2546,5
2547,5
2548,5
2572,6
2573,6
2574,6
2575,6
2576,6
2603,4
2604,4
2605,4
2606,4
2473,5
